Regulator	Interaction	Target	Weight
AT2G36080	regulates	AT1G64530	0.544510039745758
AT1G30330	regulates	AT1G65390	0.0198718879384081
AT1G30330	regulates	AT1G68880	0.717883594669103
AT2G36080	regulates	AT1G69570	0.432835111088348
AT1G30330	regulates	AT1G69810	0.413834488082933
AT1G30330	regulates	AT1G72416	0.268329903686571
AT1G30330	regulates	AT1G72790	0.151785537189421
AT1G30330	regulates	AT1G78600	0.292468964744722
AT2G36080	regulates	AT1G80760	0.287233736122519
AT2G36080	regulates	AT2G02630	0.299964339258704
AT1G04990	regulates	AT2G02680	0.255726834196872
AT1G30330	regulates	AT2G02700	0.179622815020966
AT1G04990	regulates	AT2G02950	0.144121118820097
AT1G30330	regulates	AT2G16365	0.241604277337085
AT1G04990	regulates	AT2G19650	0.146882234988443
AT1G04990	regulates	AT2G27420	0.13398677504897
AT1G04990	regulates	AT2G27660	0.56575439041837
AT2G36080	regulates	AT2G28710	0.393799966619909
AT2G36080	regulates	AT2G31730	0.263321355503458
AT2G36080	regulates	AT2G35270	0.269972587902311
AT1G30330	regulates	AT2G35940	0.410535148694444
AT1G30330	regulates	AT2G36080	0.223360455895834
AT1G30330	regulates	AT2G36090	0.629151945628305
AT1G30330	regulates	AT2G37360	0.64930888592994
AT1G30330	regulates	AT2G38310	0.119441556738841
AT1G04990	regulates	AT2G39415	1
AT1G04990	regulates	AT2G39420	0.182096108078734
AT1G04990	regulates	AT2G40080	0.397352702988162
AT2G36080	regulates	AT2G42350	0.514861185102354
AT1G30330	regulates	AT2G43140	0.40991427690329
AT1G04990	regulates	AT2G45680	0.368987107083599
AT1G30330	regulates	AT2G46270	0.4484370308625
AT1G30330	regulates	AT2G46790	0.160000490533196
AT2G36080	regulates	AT3G02910	0.264498639957642
AT2G36080	regulates	AT3G04060	0.34814880808375
AT2G36080	regulates	AT3G05800	0.0971276850268176
AT1G04990	regulates	AT3G10815	0.188847167186264
AT1G04990	regulates	AT3G11020	0.436249214559089
AT1G30330	regulates	AT3G11402	0.474003002193082
AT1G30330	regulates	AT3G13760	0.7356435856242
AT1G04990	regulates	AT3G14810	0.164662168107931
AT2G36080	regulates	AT3G21150	0.289219977056527
AT1G30330	regulates	AT3G22830	0.184053118534277
AT1G30330	regulates	AT3G24520	0.106040786365586
AT1G30330	regulates	AT3G24840	0.129989692725596
AT2G36080	regulates	AT3G27510	0.26536875195016
AT1G04990	regulates	AT3G28910	0.25041503674102
AT1G30330	regulates	AT3G44860	0.222331184068659
AT2G36080	regulates	AT3G46800	0.288213467450787
AT1G30330	regulates	AT3G46810	0.626915183247426
AT2G36080	regulates	AT3G49930	0.242251671543188
AT2G36080	regulates	AT3G52450	0.324856218077888
AT2G36080	regulates	AT3G52740	0.483422209399583
AT1G30330	regulates	AT3G61750	0.17417207598034
AT2G36080	regulates	AT4G10265	0.185818551895921
AT1G30330	regulates	AT4G11360	0.231380351120793
AT1G04990	regulates	AT4G13620	0.00702639145178302
AT2G36080	regulates	AT4G17090	0.379669943608059
AT1G30330	regulates	AT4G17670	0.309299250224065
AT2G36080	regulates	AT4G21680	0.434953575102394
