,original_rf_10000,threshold_rf_10000,threshold_gbt_10000,original_rf_1000,threshold_rf_1000,threshold_gbt_1000,original_rf_100,threshold_rf_100,threshold_gbt_100
AT1G04990-AT5G25890,0.403840640542728,0.3532652197609383,0.0,0.391815166599651,0.4220191456258341,0.0,0.41719550931696,0.0,0.0
AT4G36730-AT1G75100,0.0,0.6205374757181618,0.5465257797930985,0.0,0.5970635049924461,0.5540708499511123,0.0,0.5789473684210527,0.5114271119612936
AT2G36080-AT5G55770,0.0,0.8499948396298831,0.5433813554987361,0.0,0.7961754777647418,0.5398448175317309,0.513711320391131,0.6842105263157895,0.5528974540641863
AT4G17230-AT5G67300,0.0,0.8178708217146419,0.688725290012098,0.0,0.7898652618129235,0.7171255858241259,0.0,0.7368421052631579,0.6735471095725301
AT5G37020-AT5G14750,0.0,0.5072337764203607,0.3977783428708583,0.0,0.5759529673957864,0.3778697413522524,0.348830156314732,0.3567315311508274,0.0
AT1G68640-AT1G34180,0.0,0.6189663763184202,0.6299881065044645,0.0,0.5864374886586611,0.6551263104309839,0.0,0.6842105263157895,0.6281303436135715
AT5G37020-AT1G80130,0.0,0.6320738867148792,0.7685550888002108,0.0,0.6405993855648119,0.776895852780371,0.902559630737036,0.3684210526315789,0.8245482446056056
AT1G68640-AT5G37970,0.0,0.6502237700188443,0.3951062880955736,0.0,0.6775803798104569,0.4289407284098095,0.716258223074975,0.7492902636666683,0.5349106207299953
AT1G51140-AT2G46830,0.0,0.7157735363370276,0.8703719114343662,0.0,0.6762365713261829,0.868531404857332,0.682938900647486,0.784736723086653,0.75627718388193
AT5G63470-AT3G11100,0.0,0.0,0.0,0.0,0.0,0.0,0.645957975129069,0.3684210526315789,0.0
AT4G36730-AT5G11920,0.0,0.397702589623675,0.3487659719395056,0.0,0.4291393942133206,0.0,0.0,0.0,0.0
AT4G36730-AT1G52200,0.0,0.5059229247693596,0.4459718279121407,0.0,0.458586280488244,0.4184257164801185,0.601028588978281,0.5263157894736842,0.0
